year;month;day;hour;hmix
2017;11;06;04;91.13
2017;11;06;05;91.13
2017;11;06;06;91.13
2017;11;06;07;137.89
2017;11;06;08;137.89
2017;11;06;09;339.51
2017;11;06;10;391.58
2017;11;06;11;580.44
2017;11;06;12;858.66
2017;11;06;13;1084.40
2017;11;06;14;1201.82
2017;11;06;15;1241.39
2017;11;06;16;1194.64
2017;11;06;17;63.16
2017;11;06;18;63.17
2017;11;06;19;50.12
2017;11;06;20;50.12
2017;11;06;21;50.12
2017;11;06;22;111.71
2017;11;06;23;111.71
2017;11;07;00;111.71
2017;11;07;01;390.20
2017;11;07;02;390.20
2017;11;07;03;390.20
2017;11;07;04;193.39
2017;11;07;05;193.39
2017;11;07;06;193.39
2017;11;07;07;328.20
2017;11;07;08;328.20
2017;11;07;09;489.74
2017;11;07;10;513.16
2017;11;07;11;587.63
2017;11;07;12;703.92
2017;11;07;13;815.77
2017;11;07;14;896.22
2017;11;07;15;945.19
2017;11;07;16;936.71
2017;11;07;17;603.71
2017;11;07;18;603.76
2017;11;07;19;463.70
2017;11;07;20;463.70
2017;11;07;21;463.70
2017;11;07;22;186.85
2017;11;07;23;186.85
2017;11;08;00;186.85
2017;11;08;01;89.26
2017;11;08;02;89.26
2017;11;08;03;89.26
2017;11;08;04;58.43
2017;11;08;05;58.43
2017;11;08;06;58.43
2017;11;08;07;83.18
2017;11;08;08;83.18
2017;11;08;09;267.97
2017;11;08;10;362.47
2017;11;08;11;563.62
2017;11;08;12;824.12
2017;11;08;13;1018.83
2017;11;08;14;1110.09
2017;11;08;15;1138.44
2017;11;08;16;1107.66
2017;11;08;17;56.14
2017;11;08;18;56.13
2017;11;08;19;51.05
2017;11;08;20;51.05
2017;11;08;21;51.05
2017;11;08;22;55.24
2017;11;08;23;55.24
2017;11;09;00;55.24
2017;11;09;01;123.22
2017;11;09;02;123.22
2017;11;09;03;123.22
2017;11;09;04;173.63
2017;11;09;05;173.63
2017;11;09;06;173.63
2017;11;09;07;63.22
2017;11;09;08;63.22
2017;11;09;09;287.08
2017;11;09;10;488.61
2017;11;09;11;694.97
2017;11;09;12;877.82
2017;11;09;13;1035.89
2017;11;09;14;1129.46
2017;11;09;15;1146.96
2017;11;09;16;1110.64
2017;11;09;17;109.10
2017;11;09;18;109.10
2017;11;09;19;66.28
2017;11;09;20;66.28
2017;11;09;21;66.28
2017;11;09;22;66.28
2017;11;09;23;66.28
2017;11;10;00;66.28
2017;11;10;01;60.48
2017;11;10;02;60.48
2017;11;10;03;60.48
2017;11;10;04;54.08
2017;11;10;05;54.08
2017;11;10;06;54.08
2017;11;10;07;102.43
2017;11;10;08;102.43
2017;11;10;09;260.37
2017;11;10;10;357.03
2017;11;10;11;567.43
2017;11;10;12;815.91
2017;11;10;13;1052.70
2017;11;10;14;1156.34
2017;11;10;15;1163.79
2017;11;10;16;1113.01
2017;11;10;17;50.09
2017;11;10;18;50.09
2017;11;10;19;50.00
2017;11;10;20;50.00
2017;11;10;21;50.00
2017;11;10;22;55.19
2017;11;10;23;55.19
2017;11;11;00;55.19
2017;11;11;01;67.50
2017;11;11;02;67.50
2017;11;11;03;67.50
2017;11;11;04;56.30
2017;11;11;05;56.30
2017;11;11;06;56.30
2017;11;11;07;51.64
2017;11;11;08;51.64
2017;11;11;09;160.49
2017;11;11;10;319.69
2017;11;11;11;471.26
2017;11;11;12;653.23
2017;11;11;13;763.46
2017;11;11;14;806.28
2017;11;11;15;813.51
2017;11;11;16;787.15
2017;11;11;17;50.00
2017;11;11;18;50.00
2017;11;11;19;50.05
2017;11;11;20;50.05
2017;11;11;21;50.05
2017;11;11;22;50.00
2017;11;11;23;50.00
2017;11;12;00;50.00
2017;11;12;01;50.12
2017;11;12;02;50.12
2017;11;12;03;50.12
2017;11;12;04;50.00
2017;11;12;05;50.00
2017;11;12;06;50.00
2017;11;12;07;50.00
2017;11;12;08;50.00
2017;11;12;09;223.20
2017;11;12;10;384.75
2017;11;12;11;527.68
2017;11;12;12;629.61
2017;11;12;13;694.04
2017;11;12;14;725.89
2017;11;12;15;743.01
2017;11;12;16;721.21
2017;11;12;17;50.00
2017;11;12;18;50.00
2017;11;12;19;50.02
2017;11;12;20;50.02
2017;11;12;21;50.02
2017;11;12;22;82.93
2017;11;12;23;82.93
2017;11;13;00;82.93
2017;11;13;01;87.62
2017;11;13;02;87.62
2017;11;13;03;87.62
2017;11;13;04;311.07
2017;11;13;05;311.07
2017;11;13;06;311.07
2017;11;13;07;397.37
2017;11;13;08;397.37
2017;11;13;09;692.06
2017;11;13;10;501.07
2017;11;13;11;722.65
2017;11;13;12;961.88
2017;11;13;13;1147.67
2017;11;13;14;1249.94
2017;11;13;15;1257.31
2017;11;13;16;1200.89
2017;11;13;17;122.41
2017;11;13;18;122.42
2017;11;13;19;181.56
2017;11;13;20;181.56
2017;11;13;21;181.56
2017;11;13;22;58.06
2017;11;13;23;58.06
2017;11;14;00;58.06
2017;11;14;01;102.13
2017;11;14;02;102.13
2017;11;14;03;102.13
2017;11;14;04;56.70
2017;11;14;05;56.70
2017;11;14;06;56.70
2017;11;14;07;55.92
